Commit,First_Annotator,Second_Annotator
https://github.com/molgenis/molgenis/commit/0289715f6686b93785792d7bcbdad5671d639da1,not-source;multi-location,
https://github.com/classgraph/classgraph/commit/ca4f6aac3a3a0ffda474ed904696490ead9b663f,multi-location;not-producible;*,
https://github.com/molgenis/molgenis/commit/4bc03fb638ea04c242914bbaa5a7cdaa9ed20634,not-source;,
https://github.com/FasterXML/jackson-databind/commit/eeec0a019a57ce7cf9056a895ed9fa0f8da58942,not-source,
https://github.com/raphw/byte-buddy/commit/aad62b5c79c5b0a81277e80e0982a9bb6b4af788,not-source,
https://github.com/classgraph/classgraph/commit/0dc862dc70170c35cc6ab5669536e785182ad50e,not-source,
https://github.com/EnMasseProject/enmasse/commit/ee03fba17bcce8af853c73d85fbd0377490b3f82,not-source,
https://github.com/debezium/debezium/commit/7742e66e11d433fb579a80fe7090a0fecac80af5,multi-location-not-producible,
https://github.com/EnMasseProject/enmasse/commit/df2cf24ff87f2fa974c1b34de7b185379d09b9c0,not-source,
https://github.com/traccar/traccar/commit/79f55bfd79c1960358c1c000be63e7c3bd6a2d25,not-source,
https://github.com/CorfuDB/CorfuDB/commit/6b1b3fa59ff4e795d670ed94ef3ab949c696c503,false-negative,
https://github.com/danfickle/openhtmltopdf/commit/b4fb0baa51176dbed903c024e34d951ca2a33361,multi-location;not-producible;not-source,
https://github.com/traccar/traccar/commit/ee9ee82211684ee3de6dc9b3425411fdb28fbdb3,not-source,
https://github.com/swagger-api/swagger-codegen/commit/03c4e5170f05bf60a44dd41b4c3834c099d70dac,not-source,
https://github.com/INRIA/spoon/commit/de8682d6032f9bcc2828679a82c41d1c4af7c9e9,not-source,
https://github.com/classgraph/classgraph/commit/60b270536323c9ba739ed82624541a894863d3f7,not-source,
https://github.com/openmrs/openmrs-module-htmlformentry/commit/c6a2f446bbc98d5ad80c3b679951221a199bfd16,multi-location-not-producible,
https://github.com/classgraph/classgraph/commit/cbd961c71b10745ac89cca89e6eae85a63784cbb,not-producible,
https://github.com/EnMasseProject/enmasse/commit/b4afcdd60d3134b744eba4107ee087635102b071,not-producible;multi-location,
https://github.com/traccar/traccar/commit/220a912c1b4f12c4ad0d229e91ed9fd72f4aa327,multi-location;not-producible,
https://github.com/AxonFramework/AxonFramework/commit/2437835581e439bc6be5cc30c13f086cccd6afe3,not-producible;muli-location;not-source,
https://github.com/vitorenesduarte/VCD-java-client/commit/95974c7c1d60f352815703705b0068549373b5b3,multi-location;not-source;not-producible,
https://github.com/HubSpot/Baragon/commit/f9a42ccb2568ee37fa117dda74c7cfaafc5f25f1,multi-location,
https://github.com/EnMasseProject/enmasse/commit/26969efcccb5a606a6efdfb9c8542a38fa84a774,not-source,
https://github.com/SonarOpenCommunity/sonar-cxx/commit/a54c361a712e6c45c9046f3103315f00449403c8,not-source;multi-location;not-producible,
https://github.com/EnMasseProject/enmasse/commit/31b2c921db3f787cccbef4c406bba5814eeefaae,not-source,
https://github.com/molgenis/molgenis/commit/b182d70a79ccc5184e559f08720ddeaf2f9ca204,not-source;multi-location;not-producible*Entity.java#74,
https://github.com/traccar/traccar/commit/4b4d68a4e6ee3bad66e00bd9905c572ad9c7b91b,not-source;multi-location;not-producible*imports,
https://github.com/EnMasseProject/enmasse/commit/75f94b5a6fff375e0ad98a3dac84672f8fa418cb,not-source,
https://github.com/molgenis/molgenis/commit/81af927d37e78fda9c11154a94531cd3e1d963c4,not-source;multi-location;not-producible,
