Commit,Comment
https://github.com/traccar/traccar/commit/cde8be159a846a76908b961dc7a9f5b925b5289d,novel_code_fragment
https://github.com/apache/jackrabbit-oak/commit/7b413c957743ec5e039dd4600b4c2881881c1332,doc_change
https://github.com/debezium/debezium/commit/86cb71ad8b063a66fff8148a9a2dc94830d21d09,novel_code_fragment
https://github.com/square/javapoet/commit/4a7857e873c4d5f249bee373187289c2e1fa35ba,doc_change
https://github.com/thelinmichael/spotify-web-api-java/commit/e77ba687a558336eb3bc8d78f825dc7cc096cd1b,doc_change
https://github.com/INRIA/spoon/commit/fe6e6e9fbd1d2534c1e57bc6165a2ac4900c0896,false_negative
https://github.com/cpesch/RouteConverter/commit/7fc33d1ab8ecf365e971a75b4cb79118878a355d,novel_code_fragment
https://github.com/awslabs/amazon-kinesis-client/commit/f0557179f1870c22efa8f415a544563272e84970,doc_change
https://github.com/FasterXML/jackson-databind/commit/f512b9217f066325831a6a103b388d86b4d9713a,doc_change
https://github.com/AxonFramework/AxonFramework/commit/11b0a0ca68655d3913f35596bf6148ce04b2c912,doc_change
https://github.com/jgrapht/jgrapht/commit/130e513d22e206a3b1e8d3b4f584d07522d40edb,novel_code_fragment
https://github.com/vert-x3/vertx-web/commit/aa5f81b4ba0bf985c6afe382c0051f01cc9b072e,novel_code_fragment
https://github.com/webfirmframework/wff/commit/32ef2fac9b4405241a86f403e79d6a5afaa3ff3e,novel_code_fragment
https://github.com/vkostyukov/la4j/commit/d9bc6585b919641562dd40cc57ad2bd09ea54f5d,novel_strategy
https://github.com/shapesecurity/shift-java/commit/ff50cb038a7aa94be16b1197ea9ba339f6b45ef4,novel_strategy
https://github.com/jgrapht/jgrapht/commit/777a0821887d18ed6f1a026d4b891ae672299dc0,doc_change
https://github.com/SzFMV2018-Tavasz/AutomatedCar/commit/02e14262dc8cb21151abdebdd438da0b640e5fa1,false_negative
https://github.com/brettwooldridge/HikariCP/commit/ef7da7dad46f4ddd5448f61312e7472a69b180eb,novel_strategy
https://github.com/debezium/debezium/commit/5d23b30f67238a7ea3b5d53a4a06ac15109af2c0,novel_code_fragment
https://github.com/linkedin/pinot/commit/21a372b2f58f9c6e27fe9710d6952ed519342061,novel_strategy
https://github.com/HubSpot/Baragon/commit/75eafc08e036ffe762eea23ddd0364dfc7aa3cbd,novel_code_fragment
https://github.com/apache/jackrabbit-oak/commit/0bf253e7a736a701f253b0ec4d9bbc4f6dc06e52,novel_strategy
https://github.com/vert-x3/vertx-jdbc-client/commit/75059cd31925a53d015e0036e47908c7da24cfaa,novel_strategy
https://github.com/apache/incubator-tamaya/commit/7c90e30f50ba107feda24f1bc6520ddfe33e640b,novel_strategy
https://github.com/linkedin/pinot/commit/7fb65f0beec8e0758ed8101b6536ace6e468f8a8,novel_strategy
https://github.com/classgraph/classgraph/commit/cd776eaef7bd4ea405f997883006e7147c948d7d,doc_change
https://github.com/CSU-CS414-WareWolves/cs414-f18-001-WareWolves/commit/8ec659813530c1aaa6e750ea4204e4205f55c5e6,novel_strategy;doc_change
https://github.com/classgraph/classgraph/commit/59cd264f36a09f7baa4405f0f8fb01b638ed2373,novel_strategy
https://github.com/INRIA/spoon/commit/ac63bca1bab04368f372de7334db8c16c5bace1d,novel_strategy;novel_code_fragment
https://github.com/apereo/java-cas-client/commit/2ae54e8d98fac17bca08b43575134e26fe5656aa,novel_code_fragment
